,symbol,class,date,current_price,time_to_diff,next_price
0,spy,Buy,2024-08-01 13:30:00+00:00,553.51,0 days 00:05:00,553.5
1,spy,Buy,2024-08-01 13:35:00+00:00,553.5,0 days 00:25:00,553.3
2,spy,Buy,2024-08-01 13:40:00+00:00,554.61,0 days 00:05:00,554.59
3,spy,Buy,2024-08-01 13:45:00+00:00,554.59,0 days 00:05:00,553.995
4,spy,Sell,2024-08-01 14:25:00+00:00,549.815,0 days 00:05:00,549.975
5,spy,Sell,2024-08-01 14:30:00+00:00,549.975,13 days 23:25:00,550.18
6,spy,Sell,2024-08-01 14:35:00+00:00,549.28,13 days 22:55:00,549.815
7,spy,Sell,2024-08-01 14:40:00+00:00,548.63,13 days 22:15:00,549.03
8,spy,Sell,2024-08-01 14:45:00+00:00,547.26,0 days 00:05:00,548.05
9,spy,Sell,2024-08-01 14:50:00+00:00,548.05,13 days 22:05:00,549.03
10,spy,Sell,2024-08-01 14:55:00+00:00,547.42,13 days 22:00:00,549.03
11,spy,Sell,2024-08-01 15:00:00+00:00,546.2,0 days 00:05:00,546.27
12,spy,Sell,2024-08-01 15:05:00+00:00,546.27,0 days 00:05:00,546.31
13,spy,Sell,2024-08-01 15:10:00+00:00,546.31,0 days 00:05:00,546.62
14,spy,Sell,2024-08-01 15:15:00+00:00,546.62,13 days 21:40:00,549.03
15,spy,Sell,2024-08-01 15:20:00+00:00,546.45,13 days 21:35:00,549.03
16,spy,Sell,2024-08-01 15:25:00+00:00,546.1,13 days 21:30:00,549.03
17,spy,Sell,2024-08-01 15:30:00+00:00,545.86,13 days 21:25:00,549.03
18,spy,Sell,2024-08-01 15:35:00+00:00,545.5,0 days 00:30:00,545.84
19,spy,Sell,2024-08-01 15:40:00+00:00,544.67,0 days 00:10:00,544.96
20,spy,Sell,2024-08-01 15:45:00+00:00,544.48,0 days 00:05:00,544.96
21,spy,Sell,2024-08-01 17:35:00+00:00,541.1,0 days 00:15:00,541.65
22,spy,Sell,2024-08-01 17:40:00+00:00,540.99,0 days 00:10:00,541.65
23,spy,Sell,2024-08-01 17:45:00+00:00,540.66,0 days 00:05:00,541.65
24,spy,Sell,2024-08-01 18:40:00+00:00,539.805,0 days 00:15:00,539.93
25,spy,Sell,2024-08-01 18:45:00+00:00,539.51,0 days 00:05:00,539.68
26,spy,Buy,2024-08-01 19:25:00+00:00,541.34,0 days 18:05:00,534.13
27,spy,Buy,2024-08-01 19:30:00+00:00,541.41,0 days 18:00:00,534.13
28,spy,Buy,2024-08-01 19:35:00+00:00,542.23,0 days 00:05:00,541.435
29,spy,Sell,2024-08-02 13:30:00+00:00,534.13,0 days 00:05:00,536.32
30,spy,Sell,2024-08-02 13:40:00+00:00,536.015,10 days 23:50:00,537.38
31,spy,Sell,2024-08-02 13:45:00+00:00,535.77,10 days 23:45:00,537.38
32,spy,Sell,2024-08-02 13:50:00+00:00,534.86,10 days 00:55:00,535.15
33,spy,Sell,2024-08-02 13:55:00+00:00,534.18,9 days 23:35:00,534.23
34,spy,Sell,2024-08-02 14:00:00+00:00,533.85,7 days 03:25:00,533.915
35,spy,Sell,2024-08-02 14:05:00+00:00,531.55,0 days 01:35:00,531.98
36,spy,Sell,2024-08-02 14:10:00+00:00,529.89,0 days 00:05:00,530.17
37,spy,Sell,2024-08-02 14:15:00+00:00,530.17,0 days 00:10:00,530.49
38,spy,Sell,2024-08-02 14:20:00+00:00,529.88,0 days 00:05:00,530.49
39,spy,Sell,2024-08-02 14:25:00+00:00,530.49,0 days 00:20:00,531.14
40,spy,Sell,2024-08-02 14:35:00+00:00,529.19,0 days 00:05:00,529.67
41,spy,Buy,2024-08-02 15:40:00+00:00,531.98,0 days 00:05:00,531.76
42,spy,Buy,2024-08-02 15:45:00+00:00,531.76,0 days 00:05:00,531.38
43,spy,Buy,2024-08-02 15:50:00+00:00,531.38,0 days 01:00:00,531.295
44,spy,Buy,2024-08-02 15:55:00+00:00,532.15,0 days 00:10:00,531.93
45,spy,Buy,2024-08-02 16:00:00+00:00,532.57,0 days 00:05:00,531.93
46,spy,Sell,2024-08-02 17:25:00+00:00,530.51,0 days 00:55:00,530.785
47,spy,Sell,2024-08-02 17:50:00+00:00,529.82,0 days 00:05:00,530.23
48,spy,Buy,2024-08-02 18:25:00+00:00,531.76,0 days 00:10:00,531.37
49,spy,Buy,2024-08-02 18:30:00+00:00,531.8,0 days 00:05:00,531.37
50,spy,Buy,2024-08-02 18:35:00+00:00,531.37,0 days 00:05:00,531.325
51,spy,Sell,2024-08-05 12:20:00+00:00,509.19,0 days 00:15:00,510.0
52,spy,Sell,2024-08-05 12:25:00+00:00,508.97,0 days 00:10:00,510.0
53,spy,Sell,2024-08-05 12:30:00+00:00,508.5,0 days 00:05:00,510.0
54,spy,Sell,2024-08-05 12:45:00+00:00,510.2,0 days 00:45:00,512.27
55,spy,Buy,2024-08-05 15:15:00+00:00,519.7,0 days 00:10:00,519.63
56,spy,Buy,2024-08-05 15:20:00+00:00,520.93,0 days 00:05:00,519.63
57,spy,Buy,2024-08-05 15:25:00+00:00,519.63,0 days 01:25:00,519.49
58,spy,Buy,2024-08-05 16:25:00+00:00,523.47,0 days 00:05:00,522.05
59,spy,Sell,2024-08-05 17:00:00+00:00,518.73,0 days 00:05:00,519.5
60,spy,Sell,2024-08-05 17:10:00+00:00,519.2,0 days 00:05:00,520.045
61,spy,Sell,2024-08-05 18:00:00+00:00,518.03,0 days 00:05:00,518.615
62,spy,Sell,2024-08-05 18:10:00+00:00,518.005,0 days 00:05:00,518.52
